,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
37,wailua homesteads,US,2024-04-25 22:17:59,22.0669,-159.378,100,74,81.30199999999998,7.72
38,sao joao da barra,BR,2024-04-25 22:18:00,-21.6403,-41.0511,9,90,74.53399999999999,3.62
39,williamston,US,2024-04-25 22:17:59,35.8546,-77.0555,80,87,52.358000000000004,3.78
40,tralee,IE,2024-04-25 22:18:00,52.2704,-9.7026,100,96,44.27599999999999,1.67
41,colonia,DE,2024-04-25 22:06:23,50.9333,6.95,20,64,47.227999999999966,5.66
42,birecik,TR,2024-04-25 22:18:01,37.0294,37.9903,100,42,63.877999999999965,2.15
43,sitka,US,2024-04-25 22:18:01,57.0531,-135.33,0,66,53.76199999999996,4.63
44,tangalle,LK,2024-04-25 22:18:01,6.024,80.7911,100,79,83.03000000000004,2.93
45,cacapava do sul,BR,2024-04-25 22:18:01,-30.5122,-53.4914,66,81,61.592,1.06
46,holualoa,US,2024-04-25 22:18:00,19.6228,-155.9522,40,88,77.108,4.12
47,miri,MY,2024-04-25 22:18:02,4.4148,114.0089,73,86,83.82200000000003,2.88
48,qaqortoq,GL,2024-04-25 22:18:02,60.7167,-46.0333,100,87,39.83000000000004,5.07
49,vila velha,BR,2024-04-25 22:13:15,-20.3297,-40.2925,20,89,77.21600000000001,2.24
50,kodiak,US,2024-04-25 22:18:02,57.79,-152.4072,75,76,44.38399999999999,2.06
51,taiohae,,,,,,,,
52,georgetown,MY,2024-04-25 22:18:01,5.4112,100.3354,20,74,89.79800000000003,1.54
53,arraial do cabo,BR,2024-04-25 22:18:03,-22.9661,-42.0278,30,81,76.08200000000002,4.83
54,port mathurin,MU,2024-04-25 22:18:03,-19.6833,63.4167,13,76,79.98800000000006,6.6
55,'ohonua,,,,,,,,
56,manay,PH,2024-04-25 22:18:03,7.215,126.5397,41,60,88.10600000000002,4.13
57,puerto natales,CL,2024-04-25 22:17:18,-51.7236,-72.4875,20,74,33.54800000000002,2.97
58,klyuchi,RU,2024-04-25 22:18:04,52.2667,79.1667,2,37,38.96600000000001,4.84
59,zangguy,,,,,,,,
60,pangody,RU,2024-04-25 22:18:04,65.85,74.4859,33,94,20.516000000000005,4.24
61,suntar,RU,2024-04-25 22:09:29,62.1444,117.6319,100,74,28.382000000000016,2.94
62,touros,BR,2024-04-25 22:18:04,-5.1989,-35.4608,100,87,79.57400000000001,4.74
63,ancud,CL,2024-04-25 22:18:04,-41.8697,-73.8203,94,69,48.127999999999965,8.87
64,tabas,IR,2024-04-25 22:18:04,33.5959,56.9244,81,59,65.42599999999999,1.13
65,atafu village,TK,2024-04-25 22:09:41,-8.5421,-172.5159,28,75,85.316,4.79
66,tulum,MX,2024-04-25 22:18:05,20.2167,-87.4667,36,76,79.28599999999997,3.44
67,we,,,,,,,,
68,hawaiian paradise park,US,2024-04-25 22:18:05,19.5933,-154.9731,40,74,78.00800000000001,2.06
69,aoulef,DZ,2024-04-25 22:18:06,26.9667,1.0833,17,12,81.08599999999997,5.22
70,iqaluit,CA,2024-04-25 22:17:39,63.7506,-68.5145,100,78,8.599999999999998,5.14
71,virac,PH,2024-04-25 22:18:06,13.6333,124.2167,39,71,80.94200000000001,3.93
72,port elizabeth,ZA,2024-04-25 22:15:05,-33.918,25.5701,100,94,63.37400000000001,4.12
73,aasiaat,GL,2024-04-25 22:18:06,68.7098,-52.8699,100,90,28.30999999999998,3.41
74,utrik,MH,2024-04-25 22:18:07,11.2278,169.8474,85,74,81.12200000000004,9.8
75,pisco,PE,2024-04-25 22:18:07,-13.7,-76.2167,0,83,68.32400000000001,4.63
76,carnarvon,AU,2024-04-25 22:18:07,-24.8667,113.6333,100,41,83.78599999999997,5.22
77,tiksi,RU,2024-04-25 22:18:07,71.6872,128.8694,99,82,11.461999999999954,4.9
78,longyearbyen,SJ,2024-04-25 22:18:07,78.2186,15.6401,0,74,24.908000000000005,1.54
79,lihue,US,2024-04-25 22:18:07,21.9789,-159.3672,100,73,81.91400000000004,7.72
80,fortuna,US,2024-04-25 22:09:05,40.5982,-124.1573,100,94,53.924000000000014,5.14
81,selfoss,IS,2024-04-25 22:09:47,63.9331,-20.9971,59,76,35.311999999999955,3.33
82,salinopolis,BR,2024-04-25 22:18:08,-0.6136,-47.3561,100,92,78.44000000000003,3.6
83,rawson,AR,2024-04-25 22:15:16,-43.3002,-65.1023,2,32,61.25,13.7
84,mumford,GH,2024-04-25 22:18:08,5.2618,-0.759,86,89,82.11199999999997,4.19
85,lompoc,US,2024-04-25 22:18:08,34.6391,-120.4579,100,85,58.04600000000005,7.72
86,lebu,CL,2024-04-25 22:08:30,-37.6167,-73.65,94,89,53.47400000000002,3.92
87,blackmans bay,AU,2024-04-25 22:18:09,-43.0167,147.3167,16,56,62.99600000000005,0.89
88,marka,SO,2024-04-25 22:18:09,1.7159,44.7717,100,86,79.15999999999998,5.6
89,ebon,MH,2024-04-25 22:18:09,4.582,168.6964,77,83,83.174,9.02
90,ambovombe,MG,2024-04-25 22:18:09,-25.1667,46.0833,1,91,69.65600000000003,1.47
91,erenhot,CN,2024-04-25 22:18:09,43.6475,111.9767,73,26,56.73200000000001,3
92,howard springs,AU,2024-04-25 22:18:10,-12.497,131.047,37,53,94.08200000000002,4.8
93,constantia,RO,2024-04-25 22:16:57,44.1833,28.65,51,94,52.969999999999956,6.44
94,behshahr,IR,2024-04-25 22:18:10,36.6923,53.5526,0,66,57.41600000000001,1.12
95,sechura,PE,2024-04-25 22:18:10,-5.5569,-80.8222,10,71,74.084,5.68
96,port blair,IN,2024-04-25 22:14:32,11.6667,92.75,40,66,91.70600000000003,1.03
97,kuta,ID,2024-04-25 22:18:11,-8.7233,115.1723,20,84,86.26999999999995,5.36
98,gamba,GA,2024-04-25 22:18:11,-2.65,10,100,94,79.12400000000002,1.76
99,hilo,US,2024-04-25 22:18:11,19.7297,-155.09,40,74,78.22400000000002,2.06
100,nizhniy lomov,RU,2024-04-25 22:18:11,53.5304,43.6766,100,59,58.406000000000034,5.05
101,mokolo,CM,2024-04-25 22:18:12,10.7398,13.8019,27,38,83.01199999999996,2.95
102,la ronge,CA,2024-04-25 22:09:30,55.1001,-105.2842,74,45,46.903999999999954,2.21
103,ascencion de guarayos,,,,,,,,
104,cooma,AU,2024-04-25 22:16:15,-36.2333,149.1333,0,38,60.96199999999996,0.76
105,gamboru,NG,2024-04-25 22:18:13,12.3707,14.2173,16,27,87.92599999999999,2.55
106,sicuani,PE,2024-04-25 22:18:13,-14.2694,-71.2261,100,76,50.377999999999965,1.21
107,kailua-kona,US,2024-04-25 22:18:13,19.6406,-155.9956,40,88,80.834,4.12
108,inhambane,MZ,2024-04-25 22:18:13,-23.865,35.3833,99,66,76.64000000000001,3.74
109,st. john's,CA,2024-04-25 22:08:45,47.5649,-52.7093,7,83,33.061999999999955,3.58
110,cristalina,BR,2024-04-25 22:18:14,-16.7686,-47.6136,1,66,67.226,0.88
111,ilulissat,GL,2024-04-25 22:18:14,69.2167,-51.1,40,93,32.288000000000046,0
112,port alberni,CA,2024-04-25 22:18:14,49.2413,-124.8028,100,97,50.19800000000002,2.24
113,fort st. john,CA,2024-04-25 22:09:51,56.2499,-120.8529,98,67,38.69600000000005,3.99
114,west island,CC,2024-04-25 22:18:14,-12.1568,96.8225,75,79,84.45199999999997,8.23
115,puerto ayora,EC,2024-04-25 22:18:15,-0.7393,-90.3518,50,97,77.82799999999997,1.34
116,udachny,RU,2024-04-25 22:05:45,66.4167,112.4,100,89,16.717999999999982,5.71
117,new norfolk,AU,2024-04-25 22:10:11,-42.7826,147.0587,85,57,64.184,2.45
118,college,US,2024-04-25 22:15:22,64.8569,-147.8028,20,26,62.81600000000001,0
119,stanley,GB,2024-04-25 22:18:15,54.868,-1.6985,20,93,33.98000000000004,1.54
120,nema,RU,2024-04-25 22:18:16,57.5067,50.5011,100,88,51.78200000000002,5.1
121,swift current,CA,2024-04-25 22:13:49,50.2834,-107.8014,28,38,56.35399999999996,1.67
122,bilibino,RU,2024-04-25 22:16:07,68.0546,166.4372,92,73,25.39399999999997,1.36
123,san-pedro,CI,2024-04-25 22:18:16,4.7485,-6.6363,59,90,80.15,2.17
124,iskateley,RU,2024-04-25 22:14:10,67.6803,53.1512,100,97,32.288000000000046,5.81
125,zapatoca,CO,2024-04-25 22:18:17,6.8153,-73.2677,96,87,61.82599999999999,2.28
126,nelson bay,AU,2024-04-25 22:18:17,-32.7167,152.15,96,64,70.26799999999999,6.26
127,jamestown,US,2024-04-25 22:18:17,42.097,-79.2353,0,79,37.814000000000036,2.14
128,bredasdorp,ZA,2024-04-25 22:18:17,-34.5322,20.0403,57,96,60.674000000000014,1.82
129,amga,RU,2024-04-25 22:18:18,60.8953,131.9608,100,70,23.791999999999994,4.19
130,yinchuan,CN,2024-04-25 22:18:18,38.4681,106.2731,97,18,71.13200000000002,6.23
131,tanki leendert,,,,,,,,
132,manicore,BR,2024-04-25 22:18:18,-5.8092,-61.3003,92,99,73.27400000000002,1.22
133,sale,MA,2024-04-25 22:18:19,34.0389,-6.8166,75,100,57.90199999999997,0
134,hotan,CN,2024-04-25 22:18:19,37.0997,79.9269,6,12,73.99399999999997,3.34
135,ust'-barguzin,RU,2024-04-25 22:18:19,53.45,108.9833,100,66,36.03200000000002,2.25
136,maintirano,MG,2024-04-25 22:18:19,-18.0667,44.0167,83,86,76.1,3.65
137,siwa oasis,EG,2024-04-25 22:16:15,29.2041,25.5195,90,56,65.31799999999998,3.06
138,kokshetau,KZ,2024-04-25 22:18:19,53.2775,69.3883,0,53,45.193999999999974,3
139,paredon,MX,2024-04-25 22:18:19,16.0333,-93.8667,96,69,85.67599999999999,2.51
140,kapuskasing,CA,2024-04-25 22:18:20,49.4169,-82.4331,0,56,43.15999999999998,3.6
141,newman,US,2024-04-25 22:10:04,37.3138,-121.0208,83,61,64.90399999999995,3.13
142,kenai,US,2024-04-25 22:18:20,60.5544,-151.2583,100,78,46.417999999999985,5.14
143,queenstown,ZA,2024-04-25 22:10:11,-31.8976,26.8753,100,82,56.65999999999998,1.87
144,kushk,AF,2024-04-25 22:18:20,33.2957,61.9522,98,67,59.774000000000015,2.97
145,gadzhiyevo,RU,2024-04-25 22:18:20,69.2551,33.3362,100,93,33.74600000000005,2.05
146,vila franca do campo,PT,2024-04-25 22:18:21,37.7167,-25.4333,81,99,65.15600000000003,3.73
147,albany,US,2024-04-25 22:18:18,42.6001,-73.9662,1,51,41.161999999999956,2.54
148,kristiansund,NO,2024-04-25 22:10:08,63.1115,7.732,88,70,38.317999999999984,1.54
149,coxen hole,HN,2024-04-25 22:18:21,16.3244,-86.5366,20,69,81.95,7.2
150,isafjordur,IS,2024-04-25 22:09:30,66.0755,-23.124,28,74,35.15,1.29
151,bengkulu,ID,2024-04-25 22:18:21,-3.8004,102.2655,100,84,80.02400000000002,0.75
152,thinadhoo,MV,2024-04-25 22:18:21,0.5333,72.9333,55,77,84.79399999999998,3.58
153,keflavik,IS,2024-04-25 22:18:22,64.0049,-22.5624,0,81,39.38000000000004,6.17
154,vilyuysk,RU,2024-04-25 22:18:22,63.7553,121.6247,99,87,17.27599999999999,2.24
155,puerto deseado,AR,2024-04-25 22:18:22,-47.7503,-65.8938,7,46,53.38399999999999,9.5
156,chamical,AR,2024-04-25 22:18:22,-30.36,-66.314,94,85,62.25800000000001,1.97
157,polyarnyy,RU,2024-04-25 22:18:22,69.1989,33.4478,100,92,33.332000000000015,1.66
158,nar'yan-mar,RU,2024-04-25 22:18:22,67.6713,53.087,100,97,32.377999999999965,5.81
159,east london,ZA,2024-04-25 22:15:08,-33.0153,27.9116,75,82,63.806000000000026,4.12
160,xiongzhou,CN,2024-04-25 22:18:23,25.1167,114.3,81,73,79.89800000000002,2.3
161,francavilla al mare,IT,2024-04-25 22:18:23,42.4206,14.287,100,94,52.25,2.57
162,minas de marcona,PE,2024-04-25 22:18:23,-15.2119,-75.1103,72,85,60.04399999999997,5.33
163,olonkinbyen,SJ,2024-04-25 22:18:23,70.9221,-8.7187,95,76,29.227999999999962,6.32
164,saltillo,MX,2024-04-25 22:14:05,25.4167,-101,75,51,79.95199999999997,4.12
165,sandur,IN,2024-04-25 22:18:24,15.1,76.55,39,45,86.05399999999995,2.96
166,hermanus,ZA,2024-04-25 22:18:24,-34.4187,19.2345,33,91,63.067999999999984,4.28
167,pyt-yakh,RU,2024-04-25 22:18:24,60.7499,72.8582,9,78,29.930000000000042,1.49
168,vorgashor,RU,2024-04-25 22:18:24,67.5833,63.95,100,93,21.074000000000012,2.98
169,ribeira grande,PT,2024-04-25 22:18:25,38.5167,-28.7,86,89,60.04399999999997,4.02
170,dudinka,RU,2024-04-25 22:18:25,69.4058,86.1778,99,96,8.941999999999997,1.34
171,bamboo flat,IN,2024-04-25 22:18:25,11.7,92.7167,40,66,91.75999999999999,1.03
172,talnakh,RU,2024-04-25 22:18:25,69.4865,88.3972,88,91,8.47400000000001,1.78
173,san patricio,US,2024-04-25 22:18:25,28.017,-97.5169,100,89,78.11600000000001,7.43
174,hasaki,JP,2024-04-25 22:18:26,35.7333,140.8333,82,78,77.66600000000001,4.7
175,severo-yeniseyskiy,RU,2024-04-25 22:16:48,60.3725,93.0408,83,90,35.851999999999975,3.13
176,mana,GF,2024-04-25 22:18:26,5.6592,-53.7767,49,81,77.84600000000006,2.86
177,vingt cinq,,,,,,,,
178,villa gesell,AR,2024-04-25 22:16:53,-37.2639,-56.973,61,85,54.319999999999965,3.98
179,zaragoza,ES,2024-04-25 22:18:27,41.6561,-0.8773,40,75,51.29600000000005,1.03
180,alotau,,,,,,,,
181,katsuura,JP,2024-04-25 22:18:27,35.1333,140.3,20,77,73.68800000000005,3.53
182,cairns city,,,,,,,,
183,saratamata,,,,,,,,
184,hithadhoo,MV,2024-04-25 22:18:28,-0.6,73.0833,70,77,84.55999999999997,2.77
185,mokhsogollokh,RU,2024-04-25 22:18:28,61.4681,128.9203,100,72,18.5,4.28
186,malango,ID,2024-04-25 22:18:28,-2.9627,119.9001,49,59,84.79399999999998,1.99
187,kavaratti,IN,2024-04-25 22:18:29,10.5669,72.642,72,70,85.71199999999996,2.49
188,mundri,ID,2024-04-25 22:18:29,-6.9558,111.71,77,74,86.01799999999999,3.12
189,vadso,NO,2024-04-25 22:16:42,70.0744,29.7487,100,86,34.95199999999998,3.6
190,tura,IN,2024-04-25 22:18:29,25.5198,90.2201,0,38,90.76999999999995,3.94
191,ranavav,IN,2024-04-25 22:18:30,21.6842,69.7408,0,62,81.392,5.1
192,vilyuchinsk,RU,2024-04-25 22:09:35,52.9306,158.4028,100,72,57.74000000000002,1.15
193,tazacorte,ES,2024-04-25 22:18:30,28.629,-17.9293,100,79,65.642,4.12
194,ola,RU,2024-04-25 22:18:30,59.5833,151.2833,100,89,32.41400000000003,5.07
195,moratalla,ES,2024-04-25 22:18:30,38.1893,-1.8918,2,58,51.674000000000014,3.77
196,brookings,US,2024-04-25 22:18:31,44.3114,-96.7984,100,64,57.811999999999955,9.77
197,malvan,IN,2024-04-25 22:18:31,16.0667,73.4667,5,61,85.74800000000002,1.34
198,pico truncado,AR,2024-04-25 22:18:31,-46.7949,-67.9573,52,52,44.977999999999966,8.34
199,enewetak,MH,2024-04-25 22:18:31,11.3474,162.3373,89,77,81.68000000000004,9.87
200,bonny,NG,2024-04-25 22:18:31,4.4522,7.1681,50,83,82.58000000000004,2.64
201,ciudad lazaro cardenas,MX,2024-04-25 22:18:32,17.9583,-102.2,8,82,77.64800000000002,2.2
202,thame,GB,2024-04-25 22:18:32,51.7484,-0.9762,100,92,41.342,0.51
203,port alfred,ZA,2024-04-25 22:18:32,-33.5906,26.891,100,97,61.44800000000002,1.34
204,paraibano,BR,2024-04-25 22:18:33,-6.4331,-43.9836,62,88,73.976,0.78
205,punta gorda,US,2024-04-25 22:16:49,26.9298,-82.0454,20,82,74.26400000000004,4.02
206,necochea,AR,2024-04-25 22:16:28,-38.5473,-58.7368,60,94,50.99000000000002,4.02
207,baardheere,SO,2024-04-25 22:18:33,2.3446,42.2764,100,91,75.36199999999997,1.59
208,viedma,AR,2024-04-25 22:17:11,-40.8135,-62.9967,18,37,57.30800000000001,6.39
209,la quiaca,AR,2024-04-25 22:18:34,-22.1024,-65.593,70,42,57.79399999999997,1.72
210,avarua,CK,2024-04-25 22:18:34,-21.2078,-159.775,40,73,79.12400000000002,4.63
211,livadeia,GR,2024-04-25 22:18:34,38.435,22.8739,49,78,48.2,1.49
212,kem',RU,2024-04-25 22:18:34,64.9555,34.5793,100,98,31.748000000000026,5.47
213,shahrak-e pabedana,,,,,,,,
214,batyrevo,RU,2024-04-25 22:18:35,55.0675,47.6111,100,74,55.903999999999954,3.71
215,manado,ID,2024-04-25 22:16:35,1.487,124.8455,40,74,90.64399999999998,3.09
216,falam,MM,2024-04-25 22:18:35,22.9167,93.6833,0,21,85.24399999999997,2.94
217,afaahiti,PF,2024-04-25 22:10:07,-17.75,-149.2833,67,80,84.34399999999997,3.47
218,velykyy bereznyy,,,,,,,,
219,bandarbeyla,SO,2024-04-25 22:18:36,9.4942,50.8122,81,77,83.31799999999998,1.78
220,hovd,MN,2024-04-25 22:18:36,48.0056,91.6419,7,24,27.01400000000003,3.45
221,yuzhne,UA,2024-04-25 22:18:36,46.6221,31.1013,86,80,54.68000000000004,2.4
222,diok'nisi,GE,2024-04-25 22:18:36,41.6293,42.3917,100,65,59.54000000000002,2.92
223,yagry,,,,,,,,
224,dondo,MZ,2024-04-25 22:18:37,-19.6094,34.7431,32,95,73.184,1.74
225,opuwo,NA,2024-04-25 22:18:37,-18.0607,13.84,0,22,67.51400000000004,2.67
226,nova sintra,CV,2024-04-25 22:16:14,14.8667,-24.7167,8,82,73.83200000000002,6.81
227,tobelo,ID,2024-04-25 22:18:37,1.7284,128.0095,21,75,85.67599999999999,3.65
228,tual,ID,2024-04-25 22:18:38,-5.6667,132.75,98,74,84.86600000000001,5.25
229,rovaniemi,FI,2024-04-25 22:18:38,66.5,25.7167,0,80,33.475999999999985,3.09
230,paradip garh,IN,2024-04-25 22:18:38,20.3167,86.6167,0,55,92.87599999999999,4.35
231,pervomayskoye,RU,2024-04-25 22:18:38,43.919,46.7102,4,51,60.061999999999955,7.86
232,boyolangu,ID,2024-04-25 22:18:38,-8.1181,111.8935,61,74,84.97400000000002,2.38
233,suva,FJ,2024-04-25 22:18:39,-18.1416,178.4415,75,74,85.74800000000002,3.09
234,carutapera,BR,2024-04-25 22:18:39,-1.195,-46.02,100,94,76.316,1.39
235,at taj,LY,2024-04-25 22:09:33,24.2049,23.2857,66,23,71.41999999999996,5.25
236,la passe,FR,2024-04-25 22:18:39,45.5549,-0.8967,91,88,50.50399999999995,2.58
237,port lincoln,AU,2024-04-25 22:18:40,-34.7333,135.8667,100,53,60.943999999999974,2.89
238,mont-tremblant,CA,2024-04-25 22:16:59,46.1949,-74.6264,6,69,33.63800000000005,0.51
239,hayma',,,,,,,,
240,corner brook,CA,2024-04-25 22:15:07,48.9667,-57.9484,100,93,31.567999999999984,5.33
241,igrim,RU,2024-04-25 22:18:40,63.1906,64.4162,99,87,29.551999999999975,2.77
242,bonthe,SL,2024-04-25 22:10:13,7.5264,-12.505,100,84,79.26799999999999,3.19
243,inyati,ZW,2024-04-25 22:18:41,-19.6756,28.8469,0,70,59.88200000000002,3.32
244,tazovsky,RU,2024-04-25 22:14:06,67.4667,78.7,100,89,26.167999999999985,4.12
245,oroqen zizhiqi,CN,2024-04-25 22:18:41,50.5667,123.7167,41,26,47.35399999999995,5.9
246,beruniy,UZ,2024-04-25 22:18:42,41.6911,60.7525,0,45,62.83399999999999,3.09
247,ixtapa,MX,2024-04-25 22:18:42,20.7,-105.2,75,100,76.49600000000005,1.03
248,nemuro,JP,2024-04-25 22:09:25,43.3236,145.575,10,79,51.42200000000004,4.3
249,san sebastian de la gomera,ES,2024-04-25 22:16:35,28.0916,-17.1133,0,72,68.64800000000002,2.06
250,codrington,AU,2024-04-25 22:18:42,-38.2667,141.9667,100,66,57.48800000000004,4.4
251,campos altos,BR,2024-04-25 22:18:43,-19.6961,-46.1714,87,71,65.42599999999999,1.99
252,cannonvale,AU,2024-04-25 22:18:43,-20.2833,148.7,39,59,79.86199999999997,6.42
253,anadyr,RU,2024-04-25 22:18:43,64.75,177.4833,100,93,32.774000000000015,3
254,tchibanga,GA,2024-04-25 22:18:43,-2.85,11.0333,100,98,74.44399999999997,0.68
255,puerto princesa,PH,2024-04-25 22:18:43,9.7392,118.7353,20,62,91.65199999999999,2.57
256,mournies,GR,2024-04-25 22:18:44,35.4764,24.0092,20,72,59.108000000000004,7.2
257,woodbridge,US,2024-04-25 22:18:11,40.5576,-74.2846,0,65,47.20999999999998,2.06
258,forest,US,2024-04-25 22:18:24,37.3638,-79.2897,100,78,56.24600000000005,3.6
259,badger,US,2024-04-25 22:18:44,64.8,-147.5333,40,28,62.74399999999997,0
260,san pedro pochutla,MX,2024-04-25 22:18:44,15.7333,-96.4667,3,58,83.01199999999996,2.56
261,lockwood,US,2024-04-25 22:18:45,45.8191,-108.4149,75,58,60.96199999999996,4.12
262,damongo,,,,,,,,
263,askoy,NO,2024-04-25 22:18:45,60.4092,5.226,75,100,39.01999999999996,1.54
264,holmsund,SE,2024-04-25 22:18:45,63.706,20.3641,75,80,35.81600000000001,4.63
265,karratha,AU,2024-04-25 22:18:45,-20.7377,116.8463,100,32,88.21400000000003,7.57
266,bati,ET,2024-04-25 22:18:45,11.1833,40.0167,99,69,67.64000000000001,1.43
267,torbat-e heydariyeh,IR,2024-04-25 22:18:46,35.274,59.2195,73,60,55.022000000000034,4.95
268,rayside-balfour,,,,,,,,
269,paita,PE,2024-04-25 22:18:46,-5.0892,-81.1144,20,77,72.76999999999995,4.19
270,lazaro cardenas,MX,2024-04-25 22:18:46,17.9583,-102.2,8,82,77.64800000000002,2.2
271,turabah,SA,2024-04-25 22:18:46,21.2141,41.6331,28,40,73.74199999999999,2.49
272,launceston,AU,2024-04-25 22:16:37,-41.45,147.1667,3,48,66.41600000000001,1.54
273,borovichi,RU,2024-04-25 22:18:47,58.3878,33.9155,13,94,43.285999999999966,2.68
274,gagliano del capo,IT,2024-04-25 22:18:47,39.8442,18.3695,23,72,50.09000000000002,2.28
275,susuman,RU,2024-04-25 22:10:00,62.7833,148.1667,100,95,35.258,0.45
276,sovet,TJ,2024-04-25 22:18:47,38.0467,69.5882,100,94,59.288000000000046,2.27
277,cabo san lucas,MX,2024-04-25 22:18:48,22.8909,-109.9124,75,53,77.576,2.06
278,flying fish cove,CX,2024-04-25 22:18:48,-10.4217,105.6791,100,89,82.34600000000006,5.66
279,sadovoye,RU,2024-04-25 22:18:48,47.7764,44.5089,100,53,58.44199999999999,4.26
280,manokwari,ID,2024-04-25 22:18:48,-0.8667,134.0833,49,71,84.99199999999999,2.95
281,zhezqazghan,KZ,2024-04-25 22:18:48,47.7833,67.7667,0,45,45.44600000000005,8
282,egilsstadir,IS,2024-04-25 22:18:49,65.2653,-14.3948,75,93,32.18000000000004,2.57
283,mount gambier,AU,2024-04-25 22:18:49,-37.8333,140.7667,100,58,56.73200000000001,2.7
284,nyurba,RU,2024-04-25 22:09:42,63.2842,118.3319,99,74,25.7,2.73
285,haiku-pauwela,US,2024-04-25 22:18:49,20.9219,-156.3051,40,75,78.49399999999997,11.83
286,berrouaghia,DZ,2024-04-25 22:18:49,36.1352,2.9109,100,61,50.432000000000016,1.2
287,hamilton,US,2024-04-25 22:09:15,39.1834,-84.5333,0,64,51.29600000000005,1.54
288,kidal,ML,2024-04-25 22:18:50,18.4411,1.4078,0,11,85.334,3.6
289,vernon,CA,2024-04-25 22:18:50,50.2581,-119.2691,100,88,51.02599999999999,1.34
290,kashiwazaki,JP,2024-04-25 22:18:50,37.3667,138.55,77,48,79.15999999999998,3.63
291,plouzane,FR,2024-04-25 22:18:50,48.3833,-4.6167,75,93,46.85,3.09
292,wanning,CN,2024-04-25 22:18:51,18.8003,110.3967,0,60,90.96799999999999,8.38
293,tommot,RU,2024-04-25 22:18:51,58.9564,126.2925,100,72,24.61999999999996,3.53
294,adh dhibiyah,,,,,,,,
